title,content
"Drinking, Drugs and 'Hillbilly Rage': Johnny Depp's Own Words About His Troubled Past","In recent court documents Amber Heardthis link opens in a new tab filed a week after obtaining a restraining orderthis link opens in a new tab against Johnny Depp for alleged domestic violence, the actress claims her estranged husband is “an alcoholic and drug addict” – vices he said in recent years were long in the past.

“Depp had relapsed into a cycle of substance abuse,” Heard alleged in recent court documentsthis link opens in a new tab obtained by PEOPLE in her defamation suit against comedian Doug Stanhope, who published an article in TheWrap.comthis link opens in a new tabaccusing Heard of “blackmail” and other criminal behavior against her husband. “His drug and alcohol abuse has increased dramatically in recent years, as has his violent behavior.”

Depp has been candid about his struggles with substance abuse, but mostly attributed the bad behavior to his early days in Hollywood – long before becoming a father to Lily-Rosethis link opens in a new tab, 17, and Jack, 14.

“I’m a dumb-a–, and I poisoned myself for years,” Depp told Rolling Stonethis link opens in a new tab in 2008 of past experiences with alcohol, noting of then-partner Vanessa Paradisthis link opens in a new tab, “Now I understand things better.”

Depp cited the early 1990s as a “darker period” in his life during a 2005 interview with the magazinethis link opens in a new tab, explaining that while he wasn’t “completely unhappy,” he still “couldn’t get a grasp on it.”

That “darker period” fell around the time Depp was in a volatile relationshipthis link opens in a new tabwith model Kate Moss. During one shouting match, Depp was arrested for criminal mischiefthis link opens in a new tab at New York’s Mark Hotel for trashing his room. Police found Depp “in a state of possible intoxication,” but a criminal court judge dismissed the chargethis link opens in a new tab against him on the condition that he stay out of trouble for six months. Depp paid the Mark $9,767.12 – more than $2,000 for damages, plus the bill for the remainder of his reservation.
"
Keeping His Head,"Mornings and Johnny Depp? They go together like grunge and greasy hair. Except Depp was best known for presiding over that other end of the morning, the one where the sky is dark and the diet is beer, not bagels. Lately, though, Vanessa Paradis, the French mother of Depp's new daughter Lily-Rose, ""has some kind of hold over Johnny,"" says her friend and biographer Alain Grasset. ""She managed to keep him indoors at night, where previously he might have been out drinking until dawn."" Has Mr. Lout suddenly become Matt Lauer? They seem to be keeping the same hours. ""In Paris, Johnny wanders out in the morning,"" says Grasset, ""to buy fresh bread."" 

Johnny, it seems, has gone from Depp-lorable to Depp-endable. Now 36, he can't stop talking about the wonders of fatherhood and his love for Paradis, 26, an actress-singer who has been famous in France since she was 14. It's as if Jim Morrison lived and bought a minivan: Daddy Depp has no time for trashing hotel rooms (as he did in New York City in 1994, earning himself a few hours in a jail cell; all charges were later dropped) or menacing photographers (as he did with a board in London last January; the police arrested him but let him go with a warning). 

But the man who once boasted to Rolling Stone that he ""did every kind of drug there was by 14"" hasn't given up taking his senses for the occasional wild ride. ""He changes diapers,"" says Rick Heinrichs, the production designer of Depp's visually splendid Sleepy Hollow (which will be the highest-grossing film in Depp's offbeat oeuvre). ""But he describes it in this most heartfelt way. It was really amazing. It was definitely an evolution for him."" Maybe it's harder to act like a kid when you have one: Lily-Rose Melody Depp arrived in Paris on May 27. ""I want everything for her,"" Depp told an October press gathering in New York City. ""I want her to have total happiness. I want blue skies for my girl. I want white, puffy clouds."" To ENTERTAINMENT WEEKLY, he was equally effusive: ""I feel like there was a fog in front of my eyes for 36 years. The second she was born, that fog just lifted."" "
Johnny Depp And Meryl Streep “Deals Almost Wrapped” For ‘Into The Woods’ Movie,"Johnny Depp and Meryl Streep filming together and singing. Who can resist? Not Disney any longer. It’s taken 16 months to get off the ground — ever since January 2012, when the studio sent out a press release announcing Rob Marshall (Chicago, Nine) would be directing Stephen Sondheim’s iconic 1987 Broadway musical Into The Woods as a feature film for Disney. A table read was held in NYC this past October featuring Donna Murphy, Megan Hilty, Christine Baranski, Allison Janney and quite a few other Broadway stars. Buzz of Streep’s interest first surfaced last summer and this past week Marshall confirmed in an interview to Playbill that she was “in” to the play the witch. Today Variety reported Depp’s interest. Now I’ve confirmed that Johnny and Meryl “almost have their deals wrapped up for the film,” according to sources. Marshall directed 2011’s Pirates Of The Caribbean 4 (which might have been more palatable as a musical because it stunk as the franchise’s fourquel) so he’s already Mouse friendly. The original musical with music and lyrics by Sondheim and book by James Lapine is about a childless baker and his wife who attempt to lift a family curse by journeying into the woods to confront the witch that put the spell on them. Along the way, they encounter classic fairy tale characters. Depp previously starred in the DreamWorks film version of Sondheim’s dark musical Sweeney Todd which was also the last time he sang on camera. Streep in films had a nice turn warbling country Western in the final scenes of Postcards From The Edge until the longtime Abba fan became the singing and dancing queen of Mamma Mia!. For Into The Woods, Marshall frequent collaborators John DeLuca will produce while David Krane will arrange the music. Lapine penned the screenplay."
Why I Called 911,"I called 911 because she never would. Because every time it happened, her first thought was about protecting him. Because every time it happened, the sweet, loving man we all cared for so much would come back with apologies, profuse, swearing up and down that he understood how bad what he had done was, and swearing never to do it again. We all loved him, but especially, especially her, and she wanted to believe that the behavior wasn't going to last. 

The reports of violence started with a kick on a private plane, then it was shoves and the occasional punch, until finally, in December, she described an all-out assault and she woke up with her pillow covered in blood. I know this because I went to their house. I saw the pillow with my own eyes. I saw the busted lip and the clumps of hair on the floor. I got the phone call immediately after it happened, her screaming and crying, a stoic woman reduced to sobs. 

I understood her heartbreak. He had been my friend, too, a person I loved very much. A person I had once referred to as a brother. A person with whom I had laughed at the absurdity of the media and their spicy claims about my role in their family. A person who came to my rescue in my darkest hour, who I have credited with saving my own life, who I lived with for a year by his invitation while I healed and worked. I knew him to be soft and gentle, with a temper and a dark side, but a golden heart. I didn’t want to believe it either, until I saw the wreckage.

When you call someone your brother, you also commit to calling them out when they are wrong. As she, shaking and crying, described this 195-pound man throwing the full weight of his body into head-butting his 120-pound wife in the face in a fit of rage, I found that an unforgivable line in my heart had been crossed."
"Actors Johnny Depp, Amber Heard finalize bitter divorce","LOS ANGELES (Reuters) - Film star Johnny Depp’s tumultuous divorce from actress Amber Heard was finalized on Friday, ending the couple’s marriage after months of highly publicized claims by Heard of domestic violence and counterclaims from Depp of financial blackmail.

Court papers filed in Los Angeles County Superior Court on Friday detailed a splitting of marital assets and an agreement by Depp, 53, to pay a previously announced sum of $7 million to Heard, 30, that she said will be donated to charity.

Heard filed for divorce in May after 15 months of marriage, and days later obtained a temporary restraining order against Depp.

She said in court filings that Depp was abusive to her throughout their marriage, culminating in an argument in May in which he hurled a cell phone into her face and shattered various objects in her apartment.

A lawyer for Depp denied allegations of abuse and argued that Heard was “attempting to secure a premature financial resolution by alleging abuse.”

“We are all pleased to put this unpleasant chapter in Mr Depp and his family’s lives behind them,” said Laura Wasser, a lawyer for Depp."
Amber Heard drops defamation lawsuit against Johnny Depp’s friend and comedian Doug Stanhope,"Amber Heard has dropped a defamation lawsuit against Johnny Depp’s friend Doug Stanhope after he accused her of “blackmailing” her estranged husband Depp.

In a column published in The Wrap in May, Stanhope, a comedian, claimed Heard had attempted to “blackmail” Depp by “threatening to lie about him publicly in any and every possible duplicitous way if he didn’t agree to her terms”.

Heard’s lawyer, Peter Sample responded to the claims in the column, telling the publication the “allegations against Ms Heard are absolutely and unequivocally false”. He said Stanhope’s claims of blackmail “have no basis in reality and is nothing but the typical celebrity muckraking for profit” and demanded a retraction of the article.

Amber Heard has dropped a defamation lawsuit against Johnny Depp’s friend Doug Stanhope after he accused her of “blackmailing” her estranged husband Depp.

In a column published in The Wrap in May, Stanhope, a comedian, claimed Heard had attempted to “blackmail” Depp by “threatening to lie about him publicly in any and every possible duplicitous way if he didn’t agree to her terms”.

Heard’s lawyer, Peter Sample responded to the claims in the column, telling the publication the “allegations against Ms Heard are absolutely and unequivocally false”. He said Stanhope’s claims of blackmail “have no basis in reality and is nothing but the typical celebrity muckraking for profit” and demanded a retraction of the article."
Johnny Depp 'punched crew member in drunken tirade',"Johnny Depp is being sued for allegedly punching a crew member who tried to wrap up filming on the set of his upcoming film, City of Lies. Court documents, filed by Gregg ""Rocky"" Brooks in Los Angeles on Monday, claim the actor, 55, punched him twice in the ribs during a foul-mouthed tirade outside Los Angeles' Barclay hotel. The papers also state the actor ""reeked of alcohol"" and took drugs on set. Depp's bodyguards were forced to remove the actor from the set, it is said. As part of the altercation, Mr Brooks alleges that after Depp had verbally and physically assaulted him, the actor offered him $100,0000 (£75,000) to punch him in the face in return. The location manager is seeking unspecified damages from Depp, director Brad Furman, producer Miriam Furman and the production company Good Film Productions.

BBC News have contacted Depp's representatives for comment. The 14-page filing alleges the altercation, which happened in April last year, began when Brooks attempted to enforce curfew restrictions. According to Mr Brooks, the production team had permission to film until 7pm outside the hotel and until 10pm inside the building, but shooting overran. After getting the curfew extended once, he was then told filming had to stop. The film's director, Furham, allegedly replied: ""Why don't you tell that to Johnny Depp?"" According to the court documents, when Mr Brooks approached an on-site police officer, Depp allegedly intervened, shouting expletives and telling him: ""You have no right to tell me what to do!"""
Johnny Depp Moves Production Company to Disney ,"Johnny Depp’s already Disney’s go-to guy for tentpoles. Now the Mouse House has made room for the thesp’s production banner Infinitum Nihil.

Under a new multi-year first-look deal, Depp will develop film projects he can produce at the studio, expanding his relationship with Disney, for whom he will star in the adaptation of the “Into the Woods” musical and a fifth “Pirates of the Caribbean” adventure.

Infinitum Nihil had previously been set up at Warner Bros., where the shingle produced Tim Burton’s “Dark Shadows” and “Charlie and the Chocolate Factory.” Walt Disney Studios chairman Alan Horn was instrumental in attracting Depp’s company to the lot, given his relationship with the thesp while the exec ran Warner Bros. Studios.

The deal with Warner Bros. expired in 2011, and the Disney deal was quietly brokered several months ago.

Depp formed the production entity in 2004 with his sister Christi Dembrowski, who serves as president of the company. “Rum Diary” was the first film to be produced through the shingle. FilmDistrict distributed the movie, based on the Hunter S. Thompson book.

Thesp is currently starring as Tonto in Disney and Jerry Bruckheimer’s “The Lone Ranger” and is set to return to the studio’s “Pirates” franchise with a fifth film set for release in 2015. Up first is “Into the Woods,” which Rob Marshall will helm, reuniting him with Depp. An “Alice in Wonderland” sequel is also in development at Disney."
J.K. Rowling is “genuinely happy” Johnny Depp is in the Fantastic Beasts films. Fans are not.,"After weeks of backlash over Warner Bros.’ confirmation that it had cast Johnny Depp in the sequel to Fantastic Beasts and Where to Find Them, J.K. Rowling has issued a statement defending the move, writing in a note to fans posted on her website that she is “genuinely happy” to have Depp in the role.

Controversy over the choice to cast Depp in the role of villainous wizard supremacist Gellert Grindelwald began to brew last month, in response to an Entertainment Weekly spread previewing Depp’s Grindelwald opposite co-star Jude Law as Dumbledore in Fantastic Beasts: The Crimes of Grindelwald, the upcoming continuation of the Harry Potter prequel series. Depp was initially revealed as Grindelwald at the end of 2016’s Fantastic Beasts, but many fans had hoped Warner Bros. would recast the role in light of renewed cultural conversations about sexual assault and violence against women.

Last year, actress Amber Heard filed for divorce from and a restraining order against Depp, documenting numerous incidents of physical, verbal, and emotional abuse throughout their marriage. Still, despite the serious and public nature of Heard’s accusations, Depp has continued to star and be cast in major films like the Fantastic Beasts sequel — a trend that’s led to growing frustration within a cultural conversation that’s actively questioning how Hollywood and other industries protect abusers."
Angelina Jolie's Hollywood exile,"One of my fondest memories of Pauline Kael was a weekend at her home in Great Barrington, Mass., just a few months before she died. Newsday critic Gene Seymour and I spent two nights catching her up on a fantastic new actress, Angelina Jolie, whom she had seen once in a Mike Newell comedy, ""Pushing Tin"" (1999), and been delighted with. Pauline didn't care much for ""Girl, Interrupted,"" the film for which Jolie won the best supporting actress Oscar (neither did Seymour, who earned a hearty laugh by dubbing it ""Snakepit 90210""), but she howled gleefully every time Jolie reduced one of the other actresses in the film to mere window dressing.

""Those poor actresses,"" she said. ""She's absolutely fearless in front of a camera. This girl would scare the crap out of Jack Nicholson in 'Cuckoo's Nest.'"" Kael's favorite performance was Jolie as the doomed bisexual supermodel Gia in the HBO film. ""My God,"" she exclaimed, ""this girl could play both the Brando and Maria Schneider roles in 'Last Tango'! Where in the world did she come from?""

From where indeed? One of her earlier directors called her ""an extraordinary-looking creature, like some weird, undiscovered orchid."" Never having attended college, Jolie is unencumbered by the jargon-riddled baggage that passes for modern education. The instinctual power of her work is refreshingly devoid of the anesthetizing layers that plague so much American acting. Her responses to everything are visceral and direct, a quality that has earned her a fandom that cuts across class, sex and even political lines. While other celebrities exhaust themselves trying to stay hip, Jolie, who offers no indication in her interviews that she has any knowledge or interest in popular culture, defines hip. Apparently oblivious to the mockery of a large portion of the mainstream press (such as the New York Times, which headlined a story ""Can Angelina Jolie Save the World?"") and even the cheap collegiate cynicism of ""Saturday Night Live,"" Jolie, like the existential man whom French intellectuals used to worship, chooses her own loyalties and responsibilities without deference to conservative or liberal pieties."
